country,year,di_state,no_RandR
Chad,1981,No Explicit DI,No Crisis Data
Chad,1982,No Explicit DI,No Crisis Data
Chad,1983,No Explicit DI,No Crisis Data
Chad,1984,No Explicit DI,No Crisis Data
Chad,1985,No Explicit DI,No Crisis Data
Chad,1986,No Explicit DI,No Crisis Data
Chad,1987,No Explicit DI,No Crisis Data
Chad,1988,No Explicit DI,No Crisis Data
Chad,1989,No Explicit DI,No Crisis Data
Chad,1990,No Explicit DI,No Crisis Data
Chad,1991,No Explicit DI,No Crisis Data
Chad,1992,No Explicit DI,No Crisis Data
Chad,1993,No Explicit DI,No Crisis Data
Chad,1994,No Explicit DI,No Crisis Data
Chad,1995,No Explicit DI,No Crisis Data
Chad,1996,No Explicit DI,No Crisis Data
Chad,1997,No Explicit DI,No Crisis Data
Chad,1998,No Explicit DI,No Crisis Data
Chad,1999,No Explicit DI,No Crisis Data
Chad,2000,No Explicit DI,No Crisis Data
Chad,2001,No Explicit DI,No Crisis Data
Chad,2002,No Explicit DI,No Crisis Data
Chad,2003,No Explicit DI,No Crisis Data
Chad,2004,No Explicit DI,No Crisis Data
Chad,2005,No Explicit DI,No Crisis Data
Chad,2006,No Explicit DI,No Crisis Data
Chad,2007,No Explicit DI,No Crisis Data
Chile,1970,No Explicit DI,Data Available
Chile,1971,No Explicit DI,Data Available
Chile,1972,No Explicit DI,Data Available
Chile,1973,No Explicit DI,Data Available
Chile,1974,No Explicit DI,Data Available
Chile,1975,No Explicit DI,Data Available
Chile,1976,No Explicit DI,Data Available
Chile,1977,No Explicit DI,Data Available
Chile,1978,No Explicit DI,Data Available
Chile,1979,No Explicit DI,Data Available
Chile,1980,No Explicit DI,Data Available
Chile,1981,No Explicit DI,Data Available
Chile,1982,No Explicit DI,Data Available
Chile,1983,No Explicit DI,Data Available
Chile,1984,No Explicit DI,Data Available
Chile,1985,No Explicit DI,Data Available
Chile,1986,Central Bank,Data Available
Chile,1987,Central Bank,Data Available
Chile,1988,Central Bank,Data Available
Chile,1989,Central Bank,Data Available
Chile,1990,Central Bank,Data Available
Chile,1991,Central Bank,Data Available
Chile,1992,Central Bank,Data Available
Chile,1993,Central Bank,Data Available
Chile,1994,Central Bank,Data Available
Chile,1995,Central Bank,Data Available
Chile,1996,Central Bank,Data Available
Chile,1997,Central Bank,Data Available
Chile,1998,Central Bank,Data Available
Chile,1999,Central Bank,Data Available
Chile,2000,Central Bank,Data Available
Chile,2001,Central Bank,Data Available
Chile,2002,Central Bank,Data Available
Chile,2003,Central Bank,Data Available
Chile,2004,Central Bank,Data Available
Chile,2005,Central Bank,Data Available
Chile,2006,Central Bank,Data Available
Chile,2007,Central Bank,Data Available
China,1970,No Explicit DI,Data Available
China,1971,No Explicit DI,Data Available
China,1972,No Explicit DI,Data Available
China,1973,No Explicit DI,Data Available
China,1974,No Explicit DI,Data Available
China,1975,No Explicit DI,Data Available
China,1976,No Explicit DI,Data Available
China,1977,No Explicit DI,Data Available
China,1978,No Explicit DI,Data Available
China,1979,No Explicit DI,Data Available
China,1980,No Explicit DI,Data Available
China,1981,No Explicit DI,Data Available
China,1982,No Explicit DI,Data Available
China,1983,No Explicit DI,Data Available
China,1984,No Explicit DI,Data Available
China,1985,No Explicit DI,Data Available
China,1986,No Explicit DI,Data Available
China,1987,No Explicit DI,Data Available
China,1988,No Explicit DI,Data Available
China,1989,No Explicit DI,Data Available
China,1990,No Explicit DI,Data Available
China,1991,No Explicit DI,Data Available
China,1992,No Explicit DI,Data Available
China,1993,No Explicit DI,Data Available
China,1994,No Explicit DI,Data Available
China,1995,No Explicit DI,Data Available
China,1996,No Explicit DI,Data Available
China,1997,No Explicit DI,Data Available
China,1998,No Explicit DI,Data Available
China,1999,No Explicit DI,Data Available
China,2000,No Explicit DI,Data Available
China,2001,No Explicit DI,Data Available
China,2002,No Explicit DI,Data Available
China,2003,No Explicit DI,Data Available
China,2004,No Explicit DI,Data Available
China,2005,No Explicit DI,Data Available
China,2006,No Explicit DI,Data Available
China,2007,No Explicit DI,Data Available
Colombia,1970,No Explicit DI,Data Available
Colombia,1971,No Explicit DI,Data Available
Colombia,1972,No Explicit DI,Data Available
Colombia,1973,No Explicit DI,Data Available
Colombia,1974,No Explicit DI,Data Available
Colombia,1975,No Explicit DI,Data Available
Colombia,1976,No Explicit DI,Data Available
Colombia,1977,No Explicit DI,Data Available
Colombia,1978,No Explicit DI,Data Available
Colombia,1979,No Explicit DI,Data Available
Colombia,1980,No Explicit DI,Data Available
Colombia,1981,No Explicit DI,Data Available
Colombia,1982,No Explicit DI,Data Available
Colombia,1983,No Explicit DI,Data Available
Colombia,1984,No Explicit DI,Data Available
Colombia,1985,Ministry of Finance,Data Available
Colombia,1986,Ministry of Finance,Data Available
Colombia,1987,Ministry of Finance,Data Available
Colombia,1988,Ministry of Finance,Data Available
Colombia,1989,Ministry of Finance,Data Available
Colombia,1990,Ministry of Finance,Data Available
Colombia,1991,Ministry of Finance,Data Available
Colombia,1992,Ministry of Finance,Data Available
Colombia,1993,Ministry of Finance,Data Available
Colombia,1994,Ministry of Finance,Data Available
Colombia,1995,Ministry of Finance,Data Available
Colombia,1996,Ministry of Finance,Data Available
Colombia,1997,Ministry of Finance,Data Available
Colombia,1998,Ministry of Finance,Data Available
Colombia,1999,Ministry of Finance,Data Available
Colombia,2000,Ministry of Finance,Data Available
Colombia,2001,Ministry of Finance,Data Available
Colombia,2002,Ministry of Finance,Data Available
Colombia,2003,Ministry of Finance,Data Available
Colombia,2004,Ministry of Finance,Data Available
Colombia,2005,Ministry of Finance,Data Available
Colombia,2006,Ministry of Finance,Data Available
Colombia,2007,Ministry of Finance,Data Available
Comoros,1975,No Explicit DI,No Crisis Data
Comoros,1976,No Explicit DI,No Crisis Data
Comoros,1977,No Explicit DI,No Crisis Data
Comoros,1978,No Explicit DI,No Crisis Data
Comoros,1979,No Explicit DI,No Crisis Data
Comoros,1980,No Explicit DI,No Crisis Data
Comoros,1981,No Explicit DI,No Crisis Data
Comoros,1982,No Explicit DI,No Crisis Data
Comoros,1983,No Explicit DI,No Crisis Data
Comoros,1984,No Explicit DI,No Crisis Data
Comoros,1985,No Explicit DI,No Crisis Data
Comoros,1986,No Explicit DI,No Crisis Data
Comoros,1987,No Explicit DI,No Crisis Data
Comoros,1988,No Explicit DI,No Crisis Data
Comoros,1989,No Explicit DI,No Crisis Data
Comoros,1990,No Explicit DI,No Crisis Data
Comoros,1991,No Explicit DI,No Crisis Data
Comoros,1992,No Explicit DI,No Crisis Data
Comoros,1993,No Explicit DI,No Crisis Data
Comoros,1994,No Explicit DI,No Crisis Data
Comoros,1995,No Explicit DI,No Crisis Data
Comoros,1996,No Explicit DI,No Crisis Data
Comoros,1997,No Explicit DI,No Crisis Data
Comoros,1998,No Explicit DI,No Crisis Data
Comoros,1999,No Explicit DI,No Crisis Data
Comoros,2000,No Explicit DI,No Crisis Data
Comoros,2001,No Explicit DI,No Crisis Data
Comoros,2002,No Explicit DI,No Crisis Data
Comoros,2003,No Explicit DI,No Crisis Data
Comoros,2004,No Explicit DI,No Crisis Data
Comoros,2005,No Explicit DI,No Crisis Data
Comoros,2006,No Explicit DI,No Crisis Data
Comoros,2007,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1970,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1971,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1972,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1973,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1974,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1975,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1976,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1977,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1978,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1979,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1980,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1981,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1982,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1983,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1984,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1985,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1986,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1987,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1988,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1989,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1990,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1991,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1992,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1993,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1994,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1995,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1996,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1997,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1998,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",1999,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2000,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2001,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2002,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2003,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2004,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2005,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2006,No Explicit DI,No Crisis Data
"Congo, Dem. Rep.",2007,No Explicit DI,No Crisis Data
"Congo, Rep.",1970,No Explicit DI,No Crisis Data
"Congo, Rep.",1971,No Explicit DI,No Crisis Data
"Congo, Rep.",1972,No Explicit DI,No Crisis Data
"Congo, Rep.",1973,No Explicit DI,No Crisis Data
"Congo, Rep.",1974,No Explicit DI,No Crisis Data
"Congo, Rep.",1975,No Explicit DI,No Crisis Data
"Congo, Rep.",1976,No Explicit DI,No Crisis Data
"Congo, Rep.",1977,No Explicit DI,No Crisis Data
"Congo, Rep.",1978,No Explicit DI,No Crisis Data
"Congo, Rep.",1979,No Explicit DI,No Crisis Data
"Congo, Rep.",1980,No Explicit DI,No Crisis Data
"Congo, Rep.",1981,No Explicit DI,No Crisis Data
"Congo, Rep.",1982,No Explicit DI,No Crisis Data
"Congo, Rep.",1983,No Explicit DI,No Crisis Data
"Congo, Rep.",1984,No Explicit DI,No Crisis Data
"Congo, Rep.",1985,No Explicit DI,No Crisis Data
"Congo, Rep.",1986,No Explicit DI,No Crisis Data
"Congo, Rep.",1987,No Explicit DI,No Crisis Data
"Congo, Rep.",1988,No Explicit DI,No Crisis Data
"Congo, Rep.",1989,No Explicit DI,No Crisis Data
"Congo, Rep.",1990,No Explicit DI,No Crisis Data
"Congo, Rep.",1991,No Explicit DI,No Crisis Data
"Congo, Rep.",1992,No Explicit DI,No Crisis Data
"Congo, Rep.",1993,No Explicit DI,No Crisis Data
"Congo, Rep.",1994,No Explicit DI,No Crisis Data
"Congo, Rep.",1995,No Explicit DI,No Crisis Data
"Congo, Rep.",1996,No Explicit DI,No Crisis Data
"Congo, Rep.",1997,No Explicit DI,No Crisis Data
"Congo, Rep.",1998,No Explicit DI,No Crisis Data
"Congo, Rep.",1999,No Explicit DI,No Crisis Data
"Congo, Rep.",2000,No Explicit DI,No Crisis Data
"Congo, Rep.",2001,No Explicit DI,No Crisis Data
"Congo, Rep.",2002,No Explicit DI,No Crisis Data
"Congo, Rep.",2003,No Explicit DI,No Crisis Data
"Congo, Rep.",2004,No Explicit DI,No Crisis Data
"Congo, Rep.",2005,No Explicit DI,No Crisis Data
"Congo, Rep.",2006,No Explicit DI,No Crisis Data
"Congo, Rep.",2007,No Explicit DI,No Crisis Data
Costa Rica,1970,No Explicit DI,Data Available
Costa Rica,1971,No Explicit DI,Data Available
Costa Rica,1972,No Explicit DI,Data Available
Costa Rica,1973,No Explicit DI,Data Available
Costa Rica,1974,No Explicit DI,Data Available
Costa Rica,1975,No Explicit DI,Data Available
Costa Rica,1976,No Explicit DI,Data Available
Costa Rica,1977,No Explicit DI,Data Available
Costa Rica,1978,No Explicit DI,Data Available
Costa Rica,1979,No Explicit DI,Data Available
Costa Rica,1980,No Explicit DI,Data Available
Costa Rica,1981,No Explicit DI,Data Available
Costa Rica,1982,No Explicit DI,Data Available
Costa Rica,1983,No Explicit DI,Data Available
Costa Rica,1984,No Explicit DI,Data Available
Costa Rica,1985,No Explicit DI,Data Available
Costa Rica,1986,No Explicit DI,Data Available
Costa Rica,1987,No Explicit DI,Data Available
Costa Rica,1988,No Explicit DI,Data Available
Costa Rica,1989,No Explicit DI,Data Available
Costa Rica,1990,No Explicit DI,Data Available
Costa Rica,1991,No Explicit DI,Data Available
Costa Rica,1992,No Explicit DI,Data Available
Costa Rica,1993,No Explicit DI,Data Available
Costa Rica,1994,No Explicit DI,Data Available
Costa Rica,1995,No Explicit DI,Data Available
Costa Rica,1996,No Explicit DI,Data Available
Costa Rica,1997,No Explicit DI,Data Available
Costa Rica,1998,No Explicit DI,Data Available
Costa Rica,1999,No Explicit DI,Data Available
Costa Rica,2000,No Explicit DI,Data Available
Costa Rica,2001,No Explicit DI,Data Available
Costa Rica,2002,No Explicit DI,Data Available
Costa Rica,2003,No Explicit DI,Data Available
Costa Rica,2004,No Explicit DI,Data Available
Costa Rica,2005,No Explicit DI,Data Available
Costa Rica,2006,No Explicit DI,Data Available
Costa Rica,2007,No Explicit DI,Data Available
Cote dIvoire,1970,No Explicit DI,Data Available
Cote dIvoire,1971,No Explicit DI,Data Available
Cote dIvoire,1972,No Explicit DI,Data Available
Cote dIvoire,1973,No Explicit DI,Data Available
Cote dIvoire,1974,No Explicit DI,Data Available
Cote dIvoire,1975,No Explicit DI,Data Available
Cote dIvoire,1976,No Explicit DI,Data Available
Cote dIvoire,1977,No Explicit DI,Data Available
Cote dIvoire,1978,No Explicit DI,Data Available
Cote dIvoire,1979,No Explicit DI,Data Available
Cote dIvoire,1980,No Explicit DI,Data Available
Cote dIvoire,1981,No Explicit DI,Data Available
Cote dIvoire,1982,No Explicit DI,Data Available
Cote dIvoire,1983,No Explicit DI,Data Available
Cote dIvoire,1984,No Explicit DI,Data Available
Cote dIvoire,1985,No Explicit DI,Data Available
Cote dIvoire,1986,No Explicit DI,Data Available
Cote dIvoire,1987,No Explicit DI,Data Available
Cote dIvoire,1988,No Explicit DI,Data Available
Cote dIvoire,1989,No Explicit DI,Data Available
Cote dIvoire,1990,No Explicit DI,Data Available
Cote dIvoire,1991,No Explicit DI,Data Available
Cote dIvoire,1992,No Explicit DI,Data Available
Cote dIvoire,1993,No Explicit DI,Data Available
Cote dIvoire,1994,No Explicit DI,Data Available
Cote dIvoire,1995,No Explicit DI,Data Available
Cote dIvoire,1996,No Explicit DI,Data Available
Cote dIvoire,1997,No Explicit DI,Data Available
Cote dIvoire,1998,No Explicit DI,Data Available
Cote dIvoire,1999,No Explicit DI,Data Available
Cote dIvoire,2000,No Explicit DI,Data Available
Cote dIvoire,2001,No Explicit DI,Data Available
Cote dIvoire,2002,No Explicit DI,Data Available
Cote dIvoire,2003,No Explicit DI,Data Available
Cote dIvoire,2004,No Explicit DI,Data Available
Cote dIvoire,2005,No Explicit DI,Data Available
Cote dIvoire,2006,No Explicit DI,Data Available
Cote dIvoire,2007,No Explicit DI,Data Available
Croatia,1991,No Explicit DI,No Crisis Data
Croatia,1992,No Explicit DI,No Crisis Data
Croatia,1993,No Explicit DI,No Crisis Data
Croatia,1994,No Explicit DI,No Crisis Data
Croatia,1995,No Explicit DI,No Crisis Data
Croatia,1996,No Explicit DI,No Crisis Data
Croatia,1997,Special./Indp.,No Crisis Data
Croatia,1998,Special./Indp.,No Crisis Data
Croatia,1999,Special./Indp.,No Crisis Data
Croatia,2000,Special./Indp.,No Crisis Data
Croatia,2001,Special./Indp.,No Crisis Data
Croatia,2002,Special./Indp.,No Crisis Data
Croatia,2003,Special./Indp.,No Crisis Data
Croatia,2004,Special./Indp.,No Crisis Data
Croatia,2005,Special./Indp.,No Crisis Data
Croatia,2006,Special./Indp.,No Crisis Data
Croatia,2007,Special./Indp.,No Crisis Data
Cuba,1970,No Explicit DI,No Crisis Data
Cuba,1971,No Explicit DI,No Crisis Data
Cuba,1972,No Explicit DI,No Crisis Data
Cuba,1973,No Explicit DI,No Crisis Data
Cuba,1974,No Explicit DI,No Crisis Data
Cuba,1975,No Explicit DI,No Crisis Data
Cuba,1976,No Explicit DI,No Crisis Data
Cuba,1977,No Explicit DI,No Crisis Data
Cuba,1978,No Explicit DI,No Crisis Data
Cuba,1979,No Explicit DI,No Crisis Data
Cuba,1980,No Explicit DI,No Crisis Data
Cuba,1981,No Explicit DI,No Crisis Data
Cuba,1982,No Explicit DI,No Crisis Data
Cuba,1983,No Explicit DI,No Crisis Data
Cuba,1984,No Explicit DI,No Crisis Data
Cuba,1985,No Explicit DI,No Crisis Data
Cuba,1986,No Explicit DI,No Crisis Data
Cuba,1987,No Explicit DI,No Crisis Data
Cuba,1988,No Explicit DI,No Crisis Data
Cuba,1989,No Explicit DI,No Crisis Data
Cuba,1990,No Explicit DI,No Crisis Data
Cuba,1991,No Explicit DI,No Crisis Data
Cuba,1992,No Explicit DI,No Crisis Data
Cuba,1993,No Explicit DI,No Crisis Data
Cuba,1994,No Explicit DI,No Crisis Data
Cuba,1995,No Explicit DI,No Crisis Data
Cuba,1996,No Explicit DI,No Crisis Data
Cuba,1997,No Explicit DI,No Crisis Data
Cuba,1998,No Explicit DI,No Crisis Data
Cuba,1999,No Explicit DI,No Crisis Data
Cuba,2000,No Explicit DI,No Crisis Data
Cuba,2001,No Explicit DI,No Crisis Data
Cuba,2002,No Explicit DI,No Crisis Data
Cuba,2003,No Explicit DI,No Crisis Data
Cuba,2004,No Explicit DI,No Crisis Data
Cuba,2005,No Explicit DI,No Crisis Data
Cuba,2006,No Explicit DI,No Crisis Data
Cuba,2007,No Explicit DI,No Crisis Data
Cyprus,1970,No Explicit DI,No Crisis Data
Cyprus,1971,No Explicit DI,No Crisis Data
Cyprus,1972,No Explicit DI,No Crisis Data
Cyprus,1973,No Explicit DI,No Crisis Data
Cyprus,1974,No Explicit DI,No Crisis Data
Cyprus,1975,No Explicit DI,No Crisis Data
Cyprus,1976,No Explicit DI,No Crisis Data
Cyprus,1977,No Explicit DI,No Crisis Data
Cyprus,1978,No Explicit DI,No Crisis Data
Cyprus,1979,No Explicit DI,No Crisis Data
Cyprus,1980,No Explicit DI,No Crisis Data
Cyprus,1981,No Explicit DI,No Crisis Data
Cyprus,1982,No Explicit DI,No Crisis Data
Cyprus,1983,No Explicit DI,No Crisis Data
Cyprus,1984,No Explicit DI,No Crisis Data
Cyprus,1985,No Explicit DI,No Crisis Data
Cyprus,1986,No Explicit DI,No Crisis Data
Cyprus,1987,No Explicit DI,No Crisis Data
Cyprus,1988,No Explicit DI,No Crisis Data
Cyprus,1989,No Explicit DI,No Crisis Data
Cyprus,1990,No Explicit DI,No Crisis Data
Cyprus,1991,No Explicit DI,No Crisis Data
Cyprus,1992,No Explicit DI,No Crisis Data
Cyprus,1993,No Explicit DI,No Crisis Data
Cyprus,1994,No Explicit DI,No Crisis Data
Cyprus,1995,No Explicit DI,No Crisis Data
Cyprus,1996,No Explicit DI,No Crisis Data
Cyprus,1997,No Explicit DI,No Crisis Data
Cyprus,1998,No Explicit DI,No Crisis Data
Cyprus,1999,No Explicit DI,No Crisis Data
Cyprus,2000,Special./Indp.,No Crisis Data
Cyprus,2001,Special./Indp.,No Crisis Data
Cyprus,2002,Special./Indp.,No Crisis Data
Cyprus,2003,Special./Indp.,No Crisis Data
Cyprus,2004,Special./Indp.,No Crisis Data
Cyprus,2005,Special./Indp.,No Crisis Data
Cyprus,2006,Special./Indp.,No Crisis Data
Cyprus,2007,Special./Indp.,No Crisis Data
Czech Republic,1993,No Explicit DI,No Crisis Data
Czech Republic,1994,Special./Indp.,No Crisis Data
Czech Republic,1995,Special./Indp.,No Crisis Data
Czech Republic,1996,Special./Indp.,No Crisis Data
Czech Republic,1997,Special./Indp.,No Crisis Data
Czech Republic,1998,Special./Indp.,No Crisis Data
Czech Republic,1999,Special./Indp.,No Crisis Data
Czech Republic,2000,Special./Indp.,No Crisis Data
Czech Republic,2001,Special./Indp.,No Crisis Data
Czech Republic,2002,Special./Indp.,No Crisis Data
Czech Republic,2003,Special./Indp.,No Crisis Data
Czech Republic,2004,Special./Indp.,No Crisis Data
Czech Republic,2005,Special./Indp.,No Crisis Data
Czech Republic,2006,Special./Indp.,No Crisis Data
Czech Republic,2007,Special./Indp.,No Crisis Data
Denmark,1970,No Explicit DI,Data Available
Denmark,1971,No Explicit DI,Data Available
Denmark,1972,No Explicit DI,Data Available
Denmark,1973,No Explicit DI,Data Available
Denmark,1974,No Explicit DI,Data Available
Denmark,1975,No Explicit DI,Data Available
Denmark,1976,No Explicit DI,Data Available
Denmark,1977,No Explicit DI,Data Available
Denmark,1978,No Explicit DI,Data Available
Denmark,1979,No Explicit DI,Data Available
Denmark,1980,No Explicit DI,Data Available
Denmark,1981,No Explicit DI,Data Available
Denmark,1982,No Explicit DI,Data Available
Denmark,1983,No Explicit DI,Data Available
Denmark,1984,No Explicit DI,Data Available
Denmark,1985,No Explicit DI,Data Available
Denmark,1986,No Explicit DI,Data Available
Denmark,1987,Special./Indp.,Data Available
Denmark,1988,Special./Indp.,Data Available
Denmark,1989,Special./Indp.,Data Available
Denmark,1990,Special./Indp.,Data Available
Denmark,1991,Special./Indp.,Data Available
Denmark,1992,Special./Indp.,Data Available
Denmark,1993,Special./Indp.,Data Available
Denmark,1994,Special./Indp.,Data Available
Denmark,1995,Special./Indp.,Data Available
Denmark,1996,Special./Indp.,Data Available
Denmark,1997,Special./Indp.,Data Available
Denmark,1998,Special./Indp.,Data Available
Denmark,1999,Special./Indp.,Data Available
Denmark,2000,Special./Indp.,Data Available
Denmark,2001,Special./Indp.,Data Available
Denmark,2002,Special./Indp.,Data Available
Denmark,2003,Special./Indp.,Data Available
Denmark,2004,Special./Indp.,Data Available
Denmark,2005,Special./Indp.,Data Available
Denmark,2006,Special./Indp.,Data Available
Denmark,2007,Special./Indp.,Data Available
Djibouti,1977,No Explicit DI,No Crisis Data
Djibouti,1978,No Explicit DI,No Crisis Data
Djibouti,1979,No Explicit DI,No Crisis Data
Djibouti,1980,No Explicit DI,No Crisis Data
Djibouti,1981,No Explicit DI,No Crisis Data
Djibouti,1982,No Explicit DI,No Crisis Data
Djibouti,1983,No Explicit DI,No Crisis Data
Djibouti,1984,No Explicit DI,No Crisis Data
Djibouti,1985,No Explicit DI,No Crisis Data
Djibouti,1986,No Explicit DI,No Crisis Data
Djibouti,1987,No Explicit DI,No Crisis Data
Djibouti,1988,No Explicit DI,No Crisis Data
Djibouti,1989,No Explicit DI,No Crisis Data
Djibouti,1990,No Explicit DI,No Crisis Data
Djibouti,1991,No Explicit DI,No Crisis Data
Djibouti,1992,No Explicit DI,No Crisis Data
Djibouti,1993,No Explicit DI,No Crisis Data
Djibouti,1994,No Explicit DI,No Crisis Data
Djibouti,1995,No Explicit DI,No Crisis Data
Djibouti,1996,No Explicit DI,No Crisis Data
Djibouti,1997,No Explicit DI,No Crisis Data
Djibouti,1998,No Explicit DI,No Crisis Data
Djibouti,1999,No Explicit DI,No Crisis Data
Djibouti,2000,No Explicit DI,No Crisis Data
Djibouti,2001,No Explicit DI,No Crisis Data
Djibouti,2002,No Explicit DI,No Crisis Data
Djibouti,2003,No Explicit DI,No Crisis Data
Djibouti,2004,No Explicit DI,No Crisis Data
Djibouti,2005,No Explicit DI,No Crisis Data
Djibouti,2006,No Explicit DI,No Crisis Data
Djibouti,2007,No Explicit DI,No Crisis Data
Dominican Republic,1970,Ministry of Finance,Data Available
Dominican Republic,1971,Ministry of Finance,Data Available
Dominican Republic,1972,Ministry of Finance,Data Available
Dominican Republic,1973,Ministry of Finance,Data Available
Dominican Republic,1974,Ministry of Finance,Data Available
Dominican Republic,1975,Ministry of Finance,Data Available
Dominican Republic,1976,Ministry of Finance,Data Available
Dominican Republic,1977,Ministry of Finance,Data Available
Dominican Republic,1978,Ministry of Finance,Data Available
Dominican Republic,1979,Ministry of Finance,Data Available
Dominican Republic,1980,Ministry of Finance,Data Available
Dominican Republic,1981,Ministry of Finance,Data Available
Dominican Republic,1982,Ministry of Finance,Data Available
Dominican Republic,1983,Ministry of Finance,Data Available
Dominican Republic,1984,Ministry of Finance,Data Available
Dominican Republic,1985,Ministry of Finance,Data Available
Dominican Republic,1986,Ministry of Finance,Data Available
Dominican Republic,1987,Ministry of Finance,Data Available
Dominican Republic,1988,Ministry of Finance,Data Available
Dominican Republic,1989,Ministry of Finance,Data Available
Dominican Republic,1990,Ministry of Finance,Data Available
Dominican Republic,1991,Ministry of Finance,Data Available
Dominican Republic,1992,Ministry of Finance,Data Available
Dominican Republic,1993,Ministry of Finance,Data Available
Dominican Republic,1994,Ministry of Finance,Data Available
Dominican Republic,1995,Ministry of Finance,Data Available
Dominican Republic,1996,Ministry of Finance,Data Available
Dominican Republic,1997,Ministry of Finance,Data Available
Dominican Republic,1998,Ministry of Finance,Data Available
Dominican Republic,1999,Ministry of Finance,Data Available
Dominican Republic,2000,Ministry of Finance,Data Available
Dominican Republic,2001,Ministry of Finance,Data Available
Dominican Republic,2002,Ministry of Finance,Data Available
Dominican Republic,2003,Ministry of Finance,Data Available
Dominican Republic,2004,Ministry of Finance,Data Available
Dominican Republic,2005,Ministry of Finance,Data Available
Dominican Republic,2006,Ministry of Finance,Data Available
Dominican Republic,2007,Ministry of Finance,Data Available
Ecuador,1970,No Explicit DI,Data Available
Ecuador,1971,No Explicit DI,Data Available
Ecuador,1972,No Explicit DI,Data Available
Ecuador,1973,No Explicit DI,Data Available
Ecuador,1974,No Explicit DI,Data Available
Ecuador,1975,No Explicit DI,Data Available
Ecuador,1976,No Explicit DI,Data Available
Ecuador,1977,No Explicit DI,Data Available
Ecuador,1978,No Explicit DI,Data Available
Ecuador,1979,No Explicit DI,Data Available
Ecuador,1980,No Explicit DI,Data Available
Ecuador,1981,No Explicit DI,Data Available
Ecuador,1982,No Explicit DI,Data Available
Ecuador,1983,No Explicit DI,Data Available
Ecuador,1984,No Explicit DI,Data Available
Ecuador,1985,No Explicit DI,Data Available
Ecuador,1986,No Explicit DI,Data Available
Ecuador,1987,No Explicit DI,Data Available
Ecuador,1988,No Explicit DI,Data Available
Ecuador,1989,No Explicit DI,Data Available
Ecuador,1990,No Explicit DI,Data Available
Ecuador,1991,No Explicit DI,Data Available
Ecuador,1992,No Explicit DI,Data Available
Ecuador,1993,No Explicit DI,Data Available
Ecuador,1994,No Explicit DI,Data Available
Ecuador,1995,No Explicit DI,Data Available
Ecuador,1996,No Explicit DI,Data Available
Ecuador,1997,No Explicit DI,Data Available
Ecuador,1998,Ministry of Finance,Data Available
Ecuador,1999,Ministry of Finance,Data Available
Ecuador,2000,Ministry of Finance,Data Available
Ecuador,2001,Ministry of Finance,Data Available
Ecuador,2002,Ministry of Finance,Data Available
Ecuador,2003,Ministry of Finance,Data Available
Ecuador,2004,Ministry of Finance,Data Available
Ecuador,2005,Ministry of Finance,Data Available
Ecuador,2006,Ministry of Finance,Data Available
Ecuador,2007,Ministry of Finance,Data Available
Egypt,1970,No Explicit DI,Data Available
Egypt,1971,No Explicit DI,Data Available
Egypt,1972,No Explicit DI,Data Available
Egypt,1973,No Explicit DI,Data Available
Egypt,1974,No Explicit DI,Data Available
Egypt,1975,No Explicit DI,Data Available
